                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0353,                 5.2227,                 4.3296,                0.00086,                0.03391,                 0.0007,                0.00016,                 4.0321,                 5.3536,                  4.161,              0.0001538,              0.0001538,              0.0001538
                      2,                 3.9508,                 4.9833,                 4.2138,                0.00051,                0.03651,                 0.0004,                0.00012,                 4.0298,                 5.3591,                 4.1608,             0.00029968,             0.00029968,             0.00029968
                      3,                 3.9003,                 4.7233,                  4.101,                0.00069,                0.03745,                0.00066,                0.00019,                 4.0196,                 5.3511,                 4.1624,             0.00042958,             0.00042958,             0.00042958
                      4,                 3.7304,                 4.5767,                 3.9812,                0.00088,                0.05288,                0.00071,                 0.0002,                 3.9969,                 5.2944,                 4.1535,             0.00054349,             0.00054349,             0.00054349
                      5,                 3.5244,                 4.3724,                 3.8117,                0.00039,                0.05351,                 0.0032,                 0.0009,                 3.8865,                 5.0785,                 4.0467,             0.00061674,             0.00061674,             0.00061674
                      6,                 3.4148,                 4.0524,                 3.5921,                0.86265,                0.01498,                0.01768,                0.00497,                 3.5819,                 4.7335,                 3.8823,             0.00057867,             0.00057867,             0.00057867
                      7,                 3.2981,                 3.9565,                 3.4005,                0.87512,                0.02622,                0.02134,                0.00653,                 3.2265,                 4.2006,                  3.434,             0.00054061,             0.00054061,             0.00054061
                      8,                 3.2162,                  3.836,                 3.3176,                0.88596,                0.03457,                0.03544,                0.01055,                 3.1317,                 4.0344,                 3.2991,             0.00050254,             0.00050254,             0.00050254
                      9,                  3.166,                 3.6616,                 3.1168,                0.53445,                0.05178,                0.03141,                 0.0091,                 2.9979,                 3.9214,                 3.1129,             0.00046448,             0.00046448,             0.00046448
                     10,                 3.0806,                  3.656,                 3.0912,                0.39171,                0.10154,                0.05135,                0.01924,                 2.8418,                 3.8835,                 3.0039,             0.00042641,             0.00042641,             0.00042641
                     11,                 2.8325,                 3.7224,                 2.9631,                0.43376,                0.07084,                0.04452,                0.01515,                 2.8489,                 3.7657,                 2.9556,             0.00038835,             0.00038835,             0.00038835
                     12,                  2.824,                 3.6998,                 2.9021,                0.72872,                0.05056,                0.07861,                0.02717,                 2.7631,                 3.5912,                 2.8428,             0.00035028,             0.00035028,             0.00035028
                     13,                  2.795,                 3.5839,                 2.8401,                 0.4129,                0.09196,                0.05548,                0.02325,                 2.7069,                 3.7558,                 2.7791,             0.00031221,             0.00031221,             0.00031221
                     14,                  2.772,                 3.5984,                 2.8305,                0.43531,                0.06027,                0.06499,                0.02504,                 2.6969,                 3.6512,                  2.752,             0.00027415,             0.00027415,             0.00027415
                     15,                 2.7342,                   3.46,                 2.7543,                0.70501,                0.06495,                0.07861,                0.03094,                 2.6864,                 3.4731,                 2.7084,             0.00023608,             0.00023608,             0.00023608
                     16,                 2.7007,                 3.4165,                 2.7274,                0.49159,                0.07459,                0.07895,                0.03095,                 2.6796,                 3.4486,                 2.6684,             0.00019802,             0.00019802,             0.00019802
                     17,                 2.6547,                 3.3301,                 2.7066,                0.52265,                0.07244,                0.08102,                0.03168,                 2.6709,                 3.3695,                 2.6432,             0.00015995,             0.00015995,             0.00015995
                     18,                 2.6699,                 3.2305,                 2.6262,                0.50795,                0.09228,                0.08496,                0.03285,                 2.6839,                 3.3799,                 2.6276,             0.00012189,             0.00012189,             0.00012189
                     19,                 2.6564,                 3.2557,                 2.6192,                0.46874,                0.08777,                0.08447,                0.03212,                 2.6528,                 3.3405,                 2.6229,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     20,                 2.6395,                 3.2434,                 2.6115,                0.69208,                0.06776,                0.09122,                0.03647,                 2.6367,                 3.3044,                 2.6133,             4.5756e-05,             4.5756e-05,             4.5756e-05
