                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.812,                 3.5902,                 4.2306,                0.00361,                0.36889,                0.00926,                0.00226,                 3.9927,                 3.8209,                 4.1546,                 0.0004,                 0.0004,                 0.0004
                      2,                 3.5459,                 3.3072,                 4.0295,                0.00351,                0.36889,                0.00509,                0.00136,                 3.9667,                 3.7685,                 4.1517,             0.00077941,             0.00077941,             0.00077941
                      3,                 3.2236,                 3.1463,                 3.7737,                0.00338,                0.36444,                 0.0052,                0.00154,                 3.9571,                 3.6559,                 4.1146,              0.0011172,              0.0011172,              0.0011172
                      4,                 3.1127,                 3.0152,                 3.5285,                0.00722,                0.20444,                0.00699,                0.00194,                 4.5999,                 4.1243,                 4.9089,              0.0014135,              0.0014135,              0.0014135
                      5,                 2.9955,                 3.0309,                  3.402,                 0.0069,                0.29333,                0.02669,                 0.0072,                 4.2194,                 3.7689,                 4.2574,               0.001604,               0.001604,               0.001604
                      6,                 2.8727,                  2.969,                 3.2645,                0.02992,                0.38667,                0.03272,                0.00922,                 3.1808,                 3.2123,                 3.4351,               0.001505,               0.001505,               0.001505
                      7,                 2.8139,                 2.8687,                 3.1615,                0.08209,                0.14222,                0.06126,                0.02133,                  2.654,                 3.6444,                 3.1257,               0.001406,               0.001406,               0.001406
                      8,                  2.663,                 2.8183,                 3.0638,                0.16108,                0.19556,                0.13089,                0.05071,                  2.459,                 3.6321,                  2.926,               0.001307,               0.001307,               0.001307
                      9,                 2.6504,                 2.7393,                 3.0173,                0.22696,                0.28968,                0.15927,                0.05955,                 2.4236,                 4.0244,                   2.91,               0.001208,               0.001208,               0.001208
                     10,                 2.5558,                 2.6985,                 2.9472,                0.21917,                   0.16,                0.12534,                0.04318,                  2.453,                 5.5352,                 2.8243,               0.001109,               0.001109,               0.001109
                     11,                 2.4306,                 2.7947,                 2.8365,                0.10818,                0.32444,                0.08567,                0.03228,                 2.3734,                 7.8103,                 2.8019,                0.00101,                0.00101,                0.00101
                     12,                 2.3755,                 2.7089,                 2.8129,                 0.4359,                0.24889,                0.25254,                0.10733,                 2.3532,                 3.2131,                 2.8063,               0.000911,               0.000911,               0.000911
                     13,                 2.3422,                 2.6094,                  2.769,                0.36577,                0.33578,                0.29364,                0.11934,                 2.2119,                 3.7074,                 2.6536,               0.000812,               0.000812,               0.000812
                     14,                 2.2551,                 2.5643,                 2.7102,                0.45181,                0.32444,                 0.3308,                 0.1423,                 2.1638,                 3.4243,                 2.5966,               0.000713,               0.000713,               0.000713
                     15,                 2.2274,                 2.4712,                 2.7021,                0.43942,                0.30667,                0.32131,                0.14325,                 2.1684,                 2.9444,                 2.6291,               0.000614,               0.000614,               0.000614
                     16,                 2.2027,                 2.4852,                 2.6499,                0.40799,                0.34222,                0.33321,                0.14983,                 2.0684,                 2.6273,                 2.5371,               0.000515,               0.000515,               0.000515
                     17,                 2.1281,                 2.4019,                 2.6014,                0.62565,                0.34667,                0.43744,                0.19269,                 2.0931,                 2.3519,                 2.5514,               0.000416,               0.000416,               0.000416
                     18,                 2.1081,                 2.3219,                 2.5565,                0.51906,                0.35556,                0.40169,                0.18858,                 2.0172,                 2.3442,                 2.4743,               0.000317,               0.000317,               0.000317
                     19,                 2.0785,                 2.3548,                  2.539,                0.57006,                0.37716,                0.46425,                0.22982,                  1.954,                 2.2843,                 2.4397,               0.000218,               0.000218,               0.000218
                     20,                 2.0766,                   2.26,                 2.5435,                0.65998,                0.33778,                0.47144,                0.23275,                 1.9952,                 2.2575,                 2.4804,               0.000119,               0.000119,               0.000119
